steam_id_hash,inventory_public,item_count_unique,item_count_total,marketable_count,total_usd,max_item_usd,items_priced
55e375c3764619ec,True,11,16,15,99.41,18.93,4
1f0ba65636797774,True,60,61,30,0.33,0.12,7
80959c1f2c2fef39,True,50,59,43,12.66,2.34,15
7fc2d8a7489a316c,True,71,118,91,55.87,3.39,23
d7463e91facc002f,True,27,29,22,6.0,2.5,10
f5456b65f6b336b2,True,20,20,11,1.21,0.65,3
f05df0ac967689a3,True,37,40,32,1.53,1.04,11
771b276a5cc02f0b,True,3,3,1,0.0,0.0,0
647c396ee3bcb2f2,True,16,16,3,1.34,1.34,1
353d8e876ea51c20,True,8,8,3,23.9,18.93,3
66b97e701b7f6bee,True,56,60,37,10.11,7.45,12
fdd1df8222b936a7,True,221,264,226,13.62,2.34,27
d9fe66ba5c7fe721,True,27,38,35,72.81,18.93,14
a6200e2660436d22,True,74,77,63,19.65,7.13,18
ffc3123c9611f402,True,141,194,172,19.96,4.9,19
1fe9f53824c5f65c,True,79,79,64,24.58,19.9,11
18dad8eb4bb5c89c,True,99,128,104,1.1500000000000001,0.53,6
399e04b24904583b,True,15,16,12,26.55,18.93,5
533503d65cb1a316,True,43,58,46,99.74,18.93,13
e27e5e4418f5a22b,True,35,37,22,0.53,0.53,1
c685625e5ad8155f,True,11,11,4,1.04,1.04,1
73570326ed1ee778,True,11,11,4,1.49,1.04,3
8396168751732b37,True,111,133,111,1.97,0.14,35
12daaf0143f9d381,True,141,152,134,9.45,5.55,23
d08037e2fb6fec00,True,74,89,76,24.709999999999997,2.67,17
4b553085307840c4,True,4,4,3,2.57,2.5,3
5b1c8edd07a77fb4,True,35,36,17,8.15,3.75,6
148dc81715659bdb,True,50,53,36,3.48,0.97,18
08c797a3961d79b6,True,109,121,111,6.2700000000000005,1.04,29
57fcf4e4432124d9,True,58,77,70,0.87,0.13,13
cc27f344ce169867,True,80,87,74,7.0600000000000005,0.97,29
4ca8ed4c4aa4219c,True,78,88,77,20.22,7.18,26
50e246fa90f2c332,True,28,50,45,73.0,18.93,8
332ca19045492974,True,209,608,578,7.8,0.41,39
f1931bf7f18b0a50,True,39,41,32,27.24,19.9,12
0de73b80fd5e06e1,True,48,49,24,29.61,26.91,5
a04b12c4049abb85,True,171,216,193,38.27,25.0,26
9e01de04e5083cf3,True,208,537,514,4.89,0.53,25
4f82e389cb91cb45,True,123,143,129,8.12,2.34,29
b46d6bb3d0a77d27,True,50,50,33,5.03,2.34,10
124062d2fa9d579a,True,68,80,65,75.46,25.0,23
fbf23043ccb8a187,True,23,25,14,3.56,3.39,4
d047bb91157a5545,True,20,28,24,26.52,18.93,8
3df36fe24494846c,True,50,52,39,0.4,0.08,9
381baeebbaf5ec7e,True,48,51,19,3.4099999999999997,2.34,5
461d88dfb7ebdbba,True,34,35,23,9.7,6.72,7
810964c8ef58d42d,True,8,8,2,0.05,0.05,1
0be8af594161805a,True,28,28,18,1.1,0.41,4
92dd56cc4ca4ae72,True,33,34,27,3.58,2.34,11
