market_hash_name,price_usd,volume,source
SCAR-20 | Sand Mesh (Field-Tested),0.03,67,steam_market
Galil AR | Sage Spray (Well-Worn),0.05,38,steam_market
Sealed Graffiti | Speechless (Brick Red),0.05,13,steam_market
Desert Eagle | Mudder (Field-Tested),0.08,282,steam_market
Sealed Graffiti | Toasted (War Pig Pink),0.03,29,steam_market
SG 553 | Waves Perforated (Battle-Scarred),0.04,24,steam_market
Five-SeveN | Coolant (Battle-Scarred),0.04,29,steam_market
Sealed Graffiti | Ninja (Battle Green),0.04,22,steam_market
Sealed Graffiti | Bling (Monarch Blue),0.03,55,steam_market
Sealed Graffiti | Rage Mode (Battle Green),0.04,10,steam_market
Sealed Graffiti | Sorry (Violent Violet),0.05,11,steam_market
MP9 | Slide (Well-Worn),0.04,152,steam_market
Souvenir MP5-SD | Lab Rats (Minimal Wear),0.54,558,steam_market
PP-Bizon | Sand Dashed (Well-Worn),0.04,6,steam_market
Sealed Graffiti | Chess King (Wire Blue),0.04,13,steam_market
Sealed Graffiti | Piggles (Tiger Orange),0.07,135,steam_market
Tec-9 | Groundwater (Field-Tested),0.04,95,steam_market
SG 553 | Army Sheen (Factory New),0.14,165,steam_market
FAMAS | Survivor Z (Minimal Wear),1.22,72,steam_market
MAC-10 | Palm (Field-Tested),0.06,314,steam_market
G3SG1 | Orange Crash (Field-Tested),0.47,80,steam_market
P90 | Grim (Field-Tested),0.34,216,steam_market
R8 Revolver | Bone Mask (Minimal Wear),0.08,79,steam_market
Desert Eagle | Mudder (Minimal Wear),0.31,100,steam_market
SG 553 | Waves Perforated (Field-Tested),0.04,217,steam_market
UMP-45 | Carbon Fiber (Minimal Wear),0.16,24,steam_market
P250 | Boreal Forest (Well-Worn),0.04,24,steam_market
SCAR-20 | Sand Mesh (Minimal Wear),0.07,213,steam_market
MAC-10 | Rangeen (Field-Tested),0.38,35,steam_market
P250 | Ripple (Field-Tested),0.55,68,steam_market
CZ75-Auto | Polymer (Field-Tested),0.74,69,steam_market
MP9 | Sand Dashed (Minimal Wear),0.07,162,steam_market
MAG-7 | Cobalt Core (Minimal Wear),0.74,13,steam_market
AWP | Safari Mesh (Field-Tested),0.18,768,steam_market
AK-47 | Safari Mesh (Field-Tested),0.11,1212,steam_market
FAMAS | Colony (Battle-Scarred),0.04,41,steam_market
FAMAS | Colony (Well-Worn),0.04,34,steam_market
Nova | Predator (Field-Tested),0.04,484,steam_market
R8 Revolver | Bone Mask (Field-Tested),0.04,225,steam_market
Tec-9 | Urban DDPAT (Battle-Scarred),0.04,43,steam_market
P90 | Sand Spray (Field-Tested),0.04,113,steam_market
Nova | Sand Dune (Field-Tested),0.03,111,steam_market
UMP-45 | Urban DDPAT (Minimal Wear),0.08,147,steam_market
Sealed Genesis Terminal,0.3,69881,steam_market
MP9 | Multi-Terrain (Factory New),0.09,418,steam_market
G3SG1 | Desert Storm (Well-Worn),0.03,54,steam_market
MP7 | Army Recon (Well-Worn),0.04,37,steam_market
P90 | Sand Spray (Battle-Scarred),0.04,16,steam_market
P250 | Plum Netting (Field-Tested),0.03,586,steam_market
PP-Bizon | Candy Apple (Factory New),0.3,431,steam_market
P250 | Facility Draft (Field-Tested),0.03,99,steam_market
G3SG1 | Green Cell (Well-Worn),0.03,46,steam_market
SSG 08 | Tiger Tear (Minimal Wear),0.15,506,steam_market
UMP-45 | Facility Dark (Factory New),0.12,358,steam_market
MAC-10 | Ensnared (Well-Worn),0.14,306,steam_market
M4A4 | Naval Shred Camo (Minimal Wear),0.18,575,steam_market
MAG-7 | Insomnia (Field-Tested),0.12,720,steam_market
SSG 08 | Mainframe 001 (Field-Tested),0.13,533,steam_market
SG 553 | Basket Halftone (Field-Tested),0.06,710,steam_market
MP5-SD | Dirt Drop (Field-Tested),0.03,47,steam_market
G3SG1 | Green Cell (Minimal Wear),0.03,67,steam_market
UMP-45 | Mudder (Field-Tested),0.04,79,steam_market
Glock-18 | Winterized (Field-Tested),0.14,690,steam_market
P2000 | Gnarled (Field-Tested),0.13,308,steam_market
P2000 | Lifted Spirits (Well-Worn),0.12,510,steam_market
Sawed-Off | Kiss♥Love (Field-Tested),5.2,228,steam_market
M4A4 | Poly Mag (Field-Tested),0.14,479,steam_market
MAG-7 | Foresight (Field-Tested),0.12,1160,steam_market
M4A4 | Tooth Fairy (Factory New),28.54,99,steam_market
Five-SeveN | Coolant (Field-Tested),0.03,191,steam_market
Five-SeveN | Autumn Thicket (Field-Tested),0.03,469,steam_market
USP-S | Ticket to Hell (Minimal Wear),1.55,802,steam_market
Dual Berettas | Colony (Field-Tested),0.04,230,steam_market
Negev | Army Sheen (Minimal Wear),0.05,93,steam_market
StatTrak™ Five-SeveN | Scrawl (Field-Tested),0.18,239,steam_market
SCAR-20 | Sand Mesh (Well-Worn),0.03,54,steam_market
FAMAS | Meow 36 (Battle-Scarred),0.12,217,steam_market
R8 Revolver | Crazy 8 (Factory New),10.54,17,steam_market
StatTrak™ SSG 08 | Mainframe 001 (Field-Tested),0.15,177,steam_market
Sawed-Off | Analog Input (Field-Tested),0.69,1095,steam_market
M4A4 | Etch Lord (Minimal Wear),1.9,452,steam_market
SG 553 | Cyberforce (Field-Tested),0.12,914,steam_market
XM1014 | Irezumi (Battle-Scarred),0.1,289,steam_market
MP5-SD | Liquidation (Battle-Scarred),0.13,313,steam_market
Nova | Candy Apple (Minimal Wear),0.2,277,steam_market
MAG-7 | Rust Coat (Battle-Scarred),0.04,411,steam_market
G3SG1 | VariCamo (Field-Tested),0.06,183,steam_market
Glock-18 | Death Rattle (Field-Tested),0.14,238,steam_market
Fracture Case,0.97,48982,steam_market
AUG | Storm (Well-Worn),0.05,59,steam_market
P2000 | Granite Marbleized (Field-Tested),0.19,184,steam_market
SG 553 | Damascus Steel (Well-Worn),0.12,75,steam_market
AUG | Contractor (Field-Tested),0.03,113,steam_market
Sealed Graffiti | Eye Spy (Monarch Blue),0.04,28,steam_market
Sealed Graffiti | GTG (Desert Amber),0.04,13,steam_market
Sealed Graffiti | Death Sentence (Monster Purple),0.05,30,steam_market
Sealed Graffiti | Popdog (Tracer Yellow),0.04,20,steam_market
Sealed Graffiti | Sheriff (Shark White),0.04,9,steam_market
Sealed Graffiti | X-Axes (Blood Red),0.04,84,steam_market
Sealed Graffiti | Tombstone (Bazooka Pink),0.07,84,steam_market
Sealed Graffiti | Sorry (Cash Green),0.05,43,steam_market
Sealed Graffiti | Sorry (Princess Pink),0.04,19,steam_market
Sealed Graffiti | Double (Princess Pink),0.04,13,steam_market
M4A4 | Magnesium (Minimal Wear),1.49,244,steam_market
Sealed Graffiti | QQ (Brick Red),0.05,22,steam_market
Sealed Graffiti | Speechless (Dust Brown),0.04,18,steam_market
AUG | Storm (Field-Tested),0.04,196,steam_market
Sealed Graffiti | Tilt (Cash Green),0.04,18,steam_market
Sealed Graffiti | Noscope (Dust Brown),0.04,19,steam_market
Sealed Graffiti | X-Axes (SWAT Blue),0.04,41,steam_market
Sealed Graffiti | 8-Ball (War Pig Pink),0.05,31,steam_market
MAC-10 | Ensnared (Minimal Wear),0.28,498,steam_market
Souvenir R8 Revolver | Desert Brush (Minimal Wear),0.03,154,steam_market
Souvenir M249 | Midnight Palm (Field-Tested),0.05,167,steam_market
Sealed Graffiti | QQ (Desert Amber),0.04,30,steam_market
AUG | Contractor (Minimal Wear),0.08,133,steam_market
Sealed Graffiti | Still Happy (Brick Red),0.05,38,steam_market
Sealed Graffiti | King Me (Brick Red),0.06,19,steam_market
Sealed Graffiti | Keep the Change (Jungle Green),0.04,146,steam_market
Sealed Graffiti | Eye Spy (Battle Green),0.04,81,steam_market
Sealed Graffiti | Ninja (Brick Red),0.04,14,steam_market
Sealed Graffiti | Eco (SWAT Blue),0.04,16,steam_market
Sealed Graffiti | Karambit (Blood Red),0.04,63,steam_market
Sealed Graffiti | Karambit (Battle Green),0.04,14,steam_market
Sealed Graffiti | X-Axes (Jungle Green),0.04,3,steam_market
Sealed Graffiti | Worry (Tracer Yellow),0.04,24,steam_market
